1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
7,11,7,3,0,6,9,10,6,0,0,0,0,0,0,0,0,0,0,0,1
3,9,3,3,0,3,8,5,7,6,0,0,0,0,0,0,0,0,0,0,1
5,6,4,0,0,12,0,6,7,4,7,0,0,0,0,0,0,0,0,0,1
10,7,6,3,0,5,8,4,7,6,3,0,0,0,0,0,0,0,0,0,1
10,15,7,4,0,0,7,5,6,5,0,0,0,0,0,0,0,0,0,0,1
8,5,4,0,4,9,4,8,7,3,3,4,0,0,0,0,0,0,0,0,1
8,4,4,0,0,14,5,7,6,0,0,0,0,0,0,0,0,0,0,0,1
4,4,5,0,0,11,4,9,7,3,0,0,0,0,0,0,0,0,0,0,1
11,8,7,0,0,5,9,6,10,5,0,0,0,0,0,0,0,0,0,0,1
13,7,6,0,0,8,5,9,9,0,0,0,0,0,0,0,0,0,0,0,1
5,8,6,0,0,9,9,9,10,5,0,0,0,0,0,0,0,0,0,0,1
11,5,4,0,0,14,4,10,11,6,0,0,0,0,0,0,0,0,0,0,1
3,10,4,6,3,0,10,5,10,7,0,0,0,0,0,0,0,0,0,0,1
6,12,8,0,0,12,8,14,6,0,0,0,0,0,0,0,0,0,0,0,0
7,22,13,10,9,7,6,14,11,8,0,0,0,0,0,0,0,0,0,0,0
4,9,9,7,5,0,0,6,8,7,6,5,3,4,5,7,4,0,3,3,0
4,7,3,16,25,12,9,8,6,8,0,0,0,0,0,0,0,0,0,0,0
4,22,14,10,8,8,6,4,0,4,4,0,0,0,0,0,0,0,0,0,0
4,9,16,16,12,9,4,3,0,3,5,0,0,0,0,0,0,0,0,0,0
4,4,3,3,4,4,0,20,13,6,5,0,0,0,0,0,0,0,0,0,0
5,4,3,4,3,0,4,3,3,6,4,0,0,0,0,0,0,0,0,0,0
4,6,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,7,9,8,7,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7,14,9,5,5,4,0,0,0,0,0,3,3,0,0,0,0,0,0,0
6,10,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
3,6,10,8,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,10,7,6,5,4,0,5,4,0,0,0,0,3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
